"BLOCK","ROW","COLUMN","UID","Mx.Number","Genotype","StemDiam1","StemDiam2","StemDiam3","meanStemDiam","sdStemDiam","AngleInside","AngleOutside","ClumpDiam","TransectCount","TallestStemLigule","TallestStemTrueLeaf","TallestStemFlower","FloweringIntensityLessThan50","FloweringIntensityGreaterThan50","FloweringIntensityGreaterThan80","SenescedGreaterThan80"
2,1,4,"27930"," - Mx 1553#55","55",6.4,4.1,3.9,4.8,1.4,0,5,320,22,154,127,154,"","","y","y"
3,2,11,"28093"," - Mx 1553#55","55",4.5,7,3.8,5.1,1.7,0,10,350,17,153,123,153,"","","y","y"
1,9,10,"27886"," - Mx 1553#56","56",5.1,4.4,5.4,5,0.5,0,5,170,12,130,107,130,"","","y","y"
2,1,6,"27948"," - Mx 1553#56","56",6.2,4.8,4.1,5,1.1,0,10,250,10,137,108,137,"","","y","y"
3,1,9,"28074"," - Mx 1553#56","56",3.5,5.5,5.1,4.7,1.1,0,10,240,15,133,113,133,"","y","","y"
1,5,3,"27823"," - Mx 1553#57","57",4.1,5.9,3.9,4.6,1.1,5,20,320,24,112,90,118,"","","y","y"
2,8,8,"27971"," - Mx 1553#57","57",4.2,3.5,5.8,4.5,1.2,5,20,350,14,125,97,126,"","","y","y"
3,2,4,"28033"," - Mx 1553#57","57",4.1,5.8,4.2,4.7,1,0,10,340,11,124,97,124,"","","y","y"
1,6,10,"27883"," - Mx 1553#59","59",4.3,4.8,4.5,4.5,0.3,0,20,280,18,75,75,NA,"0","","","y"
2,1,2,"27912"," - Mx 1553#59","59",0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,5,3,"28027"," - Mx 1553#59","59",3.8,3,4.8,3.9,0.9,0,10,320,17,81,81,NA,"0","","","y"
1,5,12,"27898"," - Mx 1553#60","60",3.5,2.8,2.5,2.9,0.5,0,15,270,23,109,96,NA,"","y","","y"
